tanggal,wilayah,komoditas,harga
2019-01-01,Aceh,Bawang Merah Ukuran Sedang,29750.0
2019-02-01,Aceh,Bawang Merah Ukuran Sedang,29750.0
2019-03-01,Aceh,Bawang Merah Ukuran Sedang,29000.0
2019-04-01,Aceh,Bawang Merah Ukuran Sedang,37100.0
2019-05-01,Aceh,Bawang Merah Ukuran Sedang,37100.0
2019-06-03,Aceh,Bawang Merah Ukuran Sedang,38900.0
2019-07-01,Aceh,Bawang Merah Ukuran Sedang,36750.0
2019-08-01,Aceh,Bawang Merah Ukuran Sedang,29100.0
2019-09-02,Aceh,Bawang Merah Ukuran Sedang,24850.0
2019-10-01,Aceh,Bawang Merah Ukuran Sedang,23750.0
2019-11-01,Aceh,Bawang Merah Ukuran Sedang,27500.0
2019-12-02,Aceh,Bawang Merah Ukuran Sedang,32500.0
2020-01-01,Aceh,Bawang Merah Ukuran Sedang,32500.0
2020-02-03,Aceh,Bawang Merah Ukuran Sedang,42500.0
2020-03-02,Aceh,Bawang Merah Ukuran Sedang,35600.0
2020-04-01,Aceh,Bawang Merah Ukuran Sedang,40900.0
2020-05-01,Aceh,Bawang Merah Ukuran Sedang,40900.0
2020-06-01,Aceh,Bawang Merah Ukuran Sedang,40900.0
2020-07-01,Aceh,Bawang Merah Ukuran Sedang,34600.0
2020-08-03,Aceh,Bawang Merah Ukuran Sedang,34000.0
2020-09-01,Aceh,Bawang Merah Ukuran Sedang,29650.0
2020-10-01,Aceh,Bawang Merah Ukuran Sedang,30150.0
2020-11-02,Aceh,Bawang Merah Ukuran Sedang,36100.0
2020-12-01,Aceh,Bawang Merah Ukuran Sedang,38350.0
2021-01-01,Aceh,Bawang Merah Ukuran Sedang,38350.0
2021-02-01,Aceh,Bawang Merah Ukuran Sedang,33850.0
2021-03-01,Aceh,Bawang Merah Ukuran Sedang,34150.0
2021-04-01,Aceh,Bawang Merah Ukuran Sedang,35400.0
2021-05-03,Aceh,Bawang Merah Ukuran Sedang,35400.0
2021-06-01,Aceh,Bawang Merah Ukuran Sedang,35400.0
2021-07-01,Aceh,Bawang Merah Ukuran Sedang,31500.0
2021-08-02,Aceh,Bawang Merah Ukuran Sedang,35150.0
2021-09-01,Aceh,Bawang Merah Ukuran Sedang,31000.0
2021-10-01,Aceh,Bawang Merah Ukuran Sedang,26900.0
2021-11-01,Aceh,Bawang Merah Ukuran Sedang,28750.0
2021-12-01,Aceh,Bawang Merah Ukuran Sedang,28350.0
2022-01-03,Aceh,Bawang Merah Ukuran Sedang,32100.0
2022-02-01,Aceh,Bawang Merah Ukuran Sedang,32100.0
2022-03-01,Aceh,Bawang Merah Ukuran Sedang,35100.0
2022-04-01,Aceh,Bawang Merah Ukuran Sedang,35500.0
2022-05-02,Aceh,Bawang Merah Ukuran Sedang,35500.0
2022-06-01,Aceh,Bawang Merah Ukuran Sedang,35500.0
2022-07-01,Aceh,Bawang Merah Ukuran Sedang,63750.0
2022-08-01,Aceh,Bawang Merah Ukuran Sedang,46750.0
2022-09-01,Aceh,Bawang Merah Ukuran Sedang,31600.0
2022-10-03,Aceh,Bawang Merah Ukuran Sedang,33650.0
2022-11-01,Aceh,Bawang Merah Ukuran Sedang,33650.0
2022-12-01,Aceh,Bawang Merah Ukuran Sedang,34400.0
2023-01-02,Aceh,Bawang Merah Ukuran Sedang,32500.0
2023-02-01,Aceh,Bawang Merah Ukuran Sedang,40100.0
2023-03-01,Aceh,Bawang Merah Ukuran Sedang,37350.0
2023-04-03,Aceh,Bawang Merah Ukuran Sedang,35100.0
2023-05-01,Aceh,Bawang Merah Ukuran Sedang,35100.0
2023-06-01,Aceh,Bawang Merah Ukuran Sedang,35000.0
2023-07-03,Aceh,Bawang Merah Ukuran Sedang,38650.0
2023-08-01,Aceh,Bawang Merah Ukuran Sedang,33600.0
2023-09-01,Aceh,Bawang Merah Ukuran Sedang,29250.0
2023-10-02,Aceh,Bawang Merah Ukuran Sedang,24850.0
2023-11-01,Aceh,Bawang Merah Ukuran Sedang,27650.0
2023-12-01,Aceh,Bawang Merah Ukuran Sedang,33250.0
2024-01-01,Aceh,Bawang Merah Ukuran Sedang,40400.0
2024-02-01,Aceh,Bawang Merah Ukuran Sedang,37500.0
2024-03-01,Aceh,Bawang Merah Ukuran Sedang,37900.0
2024-04-01,Aceh,Bawang Merah Ukuran Sedang,41150.0
2024-05-01,Aceh,Bawang Merah Ukuran Sedang,64150.0
2024-06-03,Aceh,Bawang Merah Ukuran Sedang,54400.0
2024-07-01,Aceh,Bawang Merah Ukuran Sedang,46100.0
2024-08-01,Aceh,Bawang Merah Ukuran Sedang,28250.0
2024-09-02,Aceh,Bawang Merah Ukuran Sedang,25850.0
2024-10-01,Aceh,Bawang Merah Ukuran Sedang,30900.0
2024-11-01,Aceh,Bawang Merah Ukuran Sedang,32600.0
2024-12-02,Aceh,Bawang Merah Ukuran Sedang,39150.0
2025-01-01,Aceh,Bawang Merah Ukuran Sedang,44900.0
2025-02-03,Aceh,Bawang Merah Ukuran Sedang,37250.0
2025-03-03,Aceh,Bawang Merah Ukuran Sedang,37150.0
2025-04-01,Aceh,Bawang Merah Ukuran Sedang,41600.0
2025-05-01,Aceh,Bawang Merah Ukuran Sedang,44750.0
2025-06-02,Aceh,Bawang Merah Ukuran Sedang,37500.0
2025-07-01,Aceh,Bawang Merah Ukuran Sedang,41250.0
2025-08-01,Aceh,Bawang Merah Ukuran Sedang,54900.0
2025-09-01,Aceh,Bawang Merah Ukuran Sedang,49150.0
2025-10-01,Aceh,Bawang Merah Ukuran Sedang,37000.0
2025-11-03,Aceh,Bawang Merah Ukuran Sedang,36250.0
2025-12-01,Aceh,Bawang Merah Ukuran Sedang,47650.0
2026-01-01,Aceh,Bawang Merah Ukuran Sedang,48000.0
2026-02-02,Aceh,Bawang Merah Ukuran Sedang,37100.0
2026-03-02,Aceh,Bawang Merah Ukuran Sedang,37350.0
2026-04-01,Aceh,Bawang Merah Ukuran Sedang,39400.0
2019-01-01,Aceh,Bawang Putih Ukuran Sedang,20500.0
2019-02-01,Aceh,Bawang Putih Ukuran Sedang,20500.0
2019-03-01,Aceh,Bawang Putih Ukuran Sedang,20750.0
2019-04-01,Aceh,Bawang Putih Ukuran Sedang,26750.0
2019-05-01,Aceh,Bawang Putih Ukuran Sedang,26750.0
2019-06-03,Aceh,Bawang Putih Ukuran Sedang,40350.0
2019-07-01,Aceh,Bawang Putih Ukuran Sedang,38250.0
2019-08-01,Aceh,Bawang Putih Ukuran Sedang,34000.0
2019-09-02,Aceh,Bawang Putih Ukuran Sedang,32100.0
2019-10-01,Aceh,Bawang Putih Ukuran Sedang,30650.0
2019-11-01,Aceh,Bawang Putih Ukuran Sedang,29400.0
2019-12-02,Aceh,Bawang Putih Ukuran Sedang,29600.0
2020-01-01,Aceh,Bawang Putih Ukuran Sedang,29600.0
2020-02-03,Aceh,Bawang Putih Ukuran Sedang,40600.0
2020-03-02,Aceh,Bawang Putih Ukuran Sedang,42500.0
2020-04-01,Aceh,Bawang Putih Ukuran Sedang,39500.0
2020-05-01,Aceh,Bawang Putih Ukuran Sedang,39500.0
2020-06-01,Aceh,Bawang Putih Ukuran Sedang,39500.0
2020-07-01,Aceh,Bawang Putih Ukuran Sedang,22100.0
2020-08-03,Aceh,Bawang Putih Ukuran Sedang,19500.0
2020-09-01,Aceh,Bawang Putih Ukuran Sedang,23100.0
2020-10-01,Aceh,Bawang Putih Ukuran Sedang,23750.0
2020-11-02,Aceh,Bawang Putih Ukuran Sedang,24400.0
2020-12-01,Aceh,Bawang Putih Ukuran Sedang,25350.0
2021-01-01,Aceh,Bawang Putih Ukuran Sedang,25350.0
