tahun,bulan,kuartal,wilayah_enc,harga_lag1,harga_lag2,harga_lag3,harga_rolling3,harga_lag12,sin_bulan,cos_bulan,is_lebaran_month,tren_index,harga_rolling12
-1.0,-0.8,-1.0,-1.0,-0.10740203193033382,-0.12334801762114538,-0.7024673439767779,-0.35490196078431374,-0.3151862464183381,0.49999999999999994,0.3660254037844388,0.0,-1.0,-0.3361608545397415
-1.0,-0.6,-1.0,-1.0,1.053701015965167,-0.12334801762114538,-0.12191582002902758,0.23333333333333353,-0.40114613180515757,0.5773502691896257,1.793007356604921e-16,0.0,-0.9642857142857143,-0.17593465284322873
-1.0,-0.4,0.0,-1.0,0.2525399129172714,1.0513950073421439,-0.12191582002902758,0.3549019607843133,0.5272206303724928,0.5,-0.3660254037844383,0.0,-0.9285714285714286,-0.09299403078856389
-1.0,-0.2,0.0,-1.0,0.8679245283018868,0.24082232011747431,1.039187227866473,0.6843137254901955,0.5272206303724928,0.2886751345948128,-0.6339745962155612,1.0,-0.8928571428571429,-0.045240339302543675
-1.0,0.0,0.0,-1.0,0.8679245283018868,0.8634361233480177,0.23802612481857766,0.6215686274509804,0.7335243553008596,0.0,-0.7320508075688771,0.0,-0.8571428571428571,0.002513352183475441
-1.0,0.2,1.0,-1.0,0.8679245283018868,0.8634361233480177,0.8534107402031931,0.829411764705882,0.4871060171919771,-0.2886751345948128,-0.6339745962155612,0.0,-0.8214285714285714,0.02764687401822217
-1.0,0.4,1.0,-1.0,0.13642960812772134,0.8634361233480177,0.8534107402031931,0.5823529411764703,-0.38968481375358166,-0.5,-0.36602540378443876,0.0,-0.7857142857142857,0.0006283380458694088
-1.0,0.6,1.0,-1.0,0.06676342525399129,0.12334801762114538,0.8534107402031931,0.31176470588235283,-0.8767908309455588,-0.577350269189626,0.0,0.0,-0.75,0.062205466541000155
-1.0,0.8,2.0,-1.0,-0.43831640058055155,0.05286343612334802,0.12191582002902758,-0.1294117647058823,-1.002865329512894,-0.5000000000000001,0.3660254037844388,0.0,-0.7142857142857143,0.12252591894439319
-1.0,1.0,2.0,-1.0,-0.3802612481857765,-0.4581497797356828,0.05224963715529753,-0.30392156862745073,-0.5730659025787965,-0.2886751345948132,0.6339745962155612,0.0,-0.6785714285714286,0.20295318881558316
-1.0,1.2,2.0,-1.0,0.31059506531204645,-0.39941262848751835,-0.4528301886792453,-0.22156862745098016,0.0,-2.1211504774498138e-16,0.7320508075688774,0.0,-0.6428571428571429,0.3110273327049964
-0.5,-1.0,-1.0,-1.0,0.5718432510885341,0.29955947136563876,-0.39477503628447025,0.11960784313725456,0.0,0.2886751345948128,0.6339745962155615,0.0,-0.6071428571428571,0.3845428840716316
-0.5,-0.8,-1.0,-1.0,0.5718432510885341,0.5638766519823789,0.2960812772133527,0.4411764705882351,1.146131805157593,0.49999999999999994,0.3660254037844388,0.0,-0.5714285714285714,0.4580584354382669
-0.5,-0.6,-1.0,-1.0,0.04934687953555878,0.5638766519823789,0.5573294629898403,0.3529411764705881,0.3553008595988539,0.5773502691896257,1.793007356604921e-16,0.0,-0.5357142857142857,0.3493559535029853
-0.5,-0.4,0.0,-1.0,0.0841799709724238,0.03524229074889868,0.5573294629898403,0.18823529411764697,0.9627507163323782,0.5,-0.3660254037844383,0.0,-0.5,0.33113415017279335
-0.5,-0.2,0.0,-1.0,0.22931785195936139,0.07048458149779736,0.03483309143686502,0.07254901960784282,0.9627507163323782,0.2886751345948128,-0.6339745962155612,1.0,-0.4642857142857143,0.26201696512723954
-0.5,0.0,0.0,-1.0,0.22931785195936139,0.2173274596182085,0.06966618287373004,0.13333333333333355,0.9627507163323782,0.0,-0.7320508075688771,0.0,-0.42857142857142855,0.19289978008168468
-0.5,0.2,1.0,-1.0,0.22931785195936139,0.2173274596182085,0.21480406386066764,0.18235294117647052,0.24068767908309455,-0.2886751345948128,-0.6339745962155612,0.0,-0.39285714285714285,0.1237825950361298
-0.5,0.4,1.0,-1.0,-0.22351233671988388,0.2173274596182085,0.21480406386066764,0.02941176470588234,0.17191977077363896,-0.5,-0.36602540378443876,0.0,-0.35714285714285715,0.08482563619227254
-0.5,0.6,1.0,-1.0,0.20029027576197386,-0.24082232011747431,0.21480406386066764,0.019607843137254607,-0.32664756446991405,-0.577350269189626,0.0,0.0,-0.32142857142857145,0.09927741124725138
-0.5,0.8,2.0,-1.0,-0.28156748911465895,0.18795888399412627,-0.23802612481857766,-0.15294117647058816,-0.2693409742120344,-0.5000000000000001,0.3660254037844388,0.0,-0.2857142857142857,0.11624253848570568
-0.5,1.0,2.0,-1.0,-0.7576197387518142,-0.29955947136563876,0.18577648766328012,-0.33333333333333304,0.41260744985673353,-0.2886751345948132,0.6339745962155612,0.0,-0.25,0.07540056550424237
-0.5,1.2,2.0,-1.0,-0.5428156748911466,-0.7812041116005873,-0.2960812772133527,-0.584313725490196,0.670487106017192,-2.1211504774498138e-16,0.7320508075688774,0.0,-0.21428571428571427,-0.01696512723845319
0.0,-1.0,-1.0,-1.0,-0.5892597968069666,-0.5638766519823789,-0.772133526850508,-0.6882352941176467,0.670487106017192,0.2886751345948128,0.6339745962155615,0.0,-0.17857142857142858,-0.14263273641218902
0.0,-0.8,-1.0,-1.0,-0.15384615384615385,-0.6108663729809104,-0.5573294629898403,-0.484313725490196,0.15472779369627507,0.49999999999999994,0.3660254037844388,0.0,-0.14285714285714285,-0.22117499214577352
0.0,-0.6,-1.0,-1.0,-0.15384615384615385,-0.17033773861967694,-0.6037735849056604,-0.3529411764705881,0.18911174785100288,0.5773502691896257,1.793007356604921e-16,0.0,-0.10714285714285714,-0.2431668237511776
0.0,-0.4,0.0,-1.0,0.19448476052249636,-0.17033773861967694,-0.1683599419448476,-0.08823529411764702,0.332378223495702,0.5,-0.3660254037844383,0.0,-0.07142857142857142,-0.23122840087967253
0.0,-0.2,0.0,-1.0,0.2409288824383164,0.18208516886930984,-0.1683599419448476,0.04509803921568654,0.332378223495702,0.2886751345948128,-0.6339745962155612,1.0,-0.03571428571428571,-0.22997172478793537
0.0,0.0,0.0,-1.0,0.2409288824383164,0.2290748898678414,0.1799709724238026,0.17843137254901925,0.332378223495702,0.0,-0.7320508075688771,0.0,0.0,-0.22871504869619763
0.0,0.2,1.0,-1.0,0.2409288824383164,0.2290748898678414,0.22641509433962265,0.19411764705882345,-0.11461318051575932,-0.2886751345948128,-0.6339745962155612,0.0,0.03571428571428571,-0.22745837260446047
