tahun,bulan,kuartal,wilayah_enc,harga_lag1,harga_lag2,harga_lag3,harga_rolling3,harga_lag12,sin_bulan,cos_bulan,is_lebaran_month,tren_index,harga_rolling12
-1.0,-0.8,-1.0,-1.0,-0.1841541755888651,-0.15317286652078774,-0.15946843853820597,-0.19449679607990952,-1.0025706940874035,0.49999999999999994,0.3660254037844388,0.0,-1.0,-0.20604360576310057
-1.0,-0.6,-1.0,-1.0,0.7580299785867237,-0.15317286652078774,-0.14174972314507198,0.14323407463249138,-0.9768637532133676,0.5773502691896257,1.793007356604921e-16,0.0,-0.9642857142857143,-0.0010200178503122314
-1.0,-0.4,0.0,-1.0,0.9207708779443254,0.8096280087527352,-0.14174972314507198,0.5322276667923104,-0.35989717223650386,0.5,-0.3660254037844383,0.0,-0.9285714285714286,0.22083386459262994
-1.0,-0.2,0.0,-1.0,0.6638115631691649,0.975929978118162,0.832779623477298,0.8307576328684506,-0.35989717223650386,0.2886751345948128,-0.6339745962155612,1.0,-0.8928571428571429,0.35088614050745837
-1.0,0.0,0.0,-1.0,0.6638115631691649,0.7133479212253829,1.0011074197120708,0.7975876366377685,1.038560411311054,0.0,-0.7320508075688771,0.0,-0.8571428571428571,0.4809384164222868
-1.0,0.2,1.0,-1.0,0.6638115631691649,0.7133479212253829,0.7353266888150609,0.7071240105540897,0.8226221079691517,-0.2886751345948128,-0.6339745962155612,0.0,-0.8214285714285714,0.4722682646946322
-1.0,0.4,1.0,-1.0,-0.8265524625267666,0.7133479212253829,0.7353266888150609,0.18243497926875243,0.3856041131105398,-0.5,-0.36602540378443876,0.0,-0.7857142857142857,0.30753538186918256
-1.0,0.6,1.0,-1.0,-1.0492505353319057,-0.8096280087527352,0.7353266888150609,-0.42065586128910665,0.19023136246786632,-0.577350269189626,0.0,0.0,-0.75,0.15963279357388716
-1.0,0.8,2.0,-1.0,-0.7408993576017131,-1.0371991247264771,-0.8062015503875969,-0.9151903505465507,0.04113110539845758,-0.5000000000000001,0.3660254037844388,0.0,-0.7142857142857143,0.06783118704577341
-1.0,1.0,2.0,-1.0,-0.6852248394004282,-0.7221006564551422,-1.0365448504983388,-0.8654353562005274,-0.08740359897172237,-0.2886751345948132,0.6339745962155612,0.0,-0.6785714285714286,-0.0025500446257808013
-1.0,1.2,2.0,-1.0,-0.6295503211991434,-0.6652078774617067,-0.717607973421927,-0.717678100263852,-0.06683804627249357,-2.1211504774498138e-16,0.7320508075688774,0.0,-0.6428571428571429,-0.05355093714139994
-0.5,-1.0,-1.0,-1.0,-0.5481798715203426,-0.6083150984682714,-0.6600221483942414,-0.6498303807010929,-0.06683804627249357,0.2886751345948128,0.6339745962155615,0.0,-0.6071428571428571,-0.09690169577967624
-0.5,-0.8,-1.0,-1.0,-0.5481798715203426,-0.5251641137855579,-0.602436323366556,-0.6015831134564643,1.06426735218509,0.49999999999999994,0.3660254037844388,0.0,-0.5714285714285714,-0.1402524544179521
