tahun,bulan,kuartal,wilayah_enc,harga_lag1,harga_lag2,harga_lag3,harga_rolling3,harga_lag12,sin_bulan,cos_bulan,is_lebaran_month,tren_index,harga_rolling12
-1.0,-0.8,-1.0,-1.25,-0.5753424657534246,-0.6086956521739131,-0.625,-0.5990338164251211,-0.33962264150943394,0.49999999999999994,0.3660254037844388,0.0,-1.0,-0.5631868131868142
-1.0,-0.6,-1.0,-1.25,-0.4383561643835616,-0.6086956521739131,-0.5625,-0.5314009661835746,-0.5283018867924528,0.5773502691896257,1.793007356604921e-16,0.0,-0.9642857142857143,-0.5659340659340666
-1.0,-0.4,0.0,-1.25,-0.5753424657534246,-0.463768115942029,-0.5625,-0.5314009661835746,-0.7169811320754716,0.5,-0.3660254037844383,0.0,-0.9285714285714286,-0.5686813186813189
-1.0,-0.2,0.0,-1.25,-0.5205479452054794,-0.6086956521739131,-0.40625,-0.5120772946859907,-0.7169811320754716,0.2886751345948128,-0.6339745962155612,1.0,-0.8928571428571429,-0.5521978021978025
-1.0,0.0,0.0,-1.25,-0.5205479452054794,-0.5507246376811594,-0.5625,-0.5410628019323676,-0.5660377358490566,0.0,-0.7320508075688771,0.0,-0.8571428571428571,-0.5357142857142859
-1.0,0.2,1.0,-1.25,-0.5205479452054794,-0.5507246376811594,-0.5,-0.5217391304347826,-0.5283018867924528,-0.2886751345948128,-0.6339745962155612,0.0,-0.8214285714285714,-0.5302197802197812
-1.0,0.4,1.0,-1.25,-0.4931506849315068,-0.5507246376811594,-0.5,-0.5120772946859907,-0.5660377358490566,-0.5,-0.36602540378443876,0.0,-0.7857142857142857,-0.5247252747252753
-1.0,0.6,1.0,-1.25,-0.5205479452054794,-0.5217391304347826,-0.5,-0.5120772946859907,-0.5660377358490566,-0.577350269189626,0.0,0.0,-0.75,-0.5192307692307694
-1.0,0.8,2.0,-1.25,-0.5753424657534246,-0.5507246376811594,-0.46875,-0.5314009661835746,-0.5660377358490566,-0.5000000000000001,0.3660254037844388,0.0,-0.7142857142857143,-0.5192307692307694
-1.0,1.0,2.0,-1.25,-0.547945205479452,-0.6086956521739131,-0.5,-0.5507246376811594,-0.6415094339622641,-0.2886751345948132,0.6339745962155612,0.0,-0.6785714285714286,-0.5164835164835171
-1.0,1.2,2.0,-1.25,-0.547945205479452,-0.5797101449275363,-0.5625,-0.5603864734299513,-0.5660377358490566,-2.1211504774498138e-16,0.7320508075688774,0.0,-0.6428571428571429,-0.5082417582417589
-0.5,-1.0,-1.0,-1.25,-0.547945205479452,-0.5797101449275363,-0.53125,-0.5507246376811594,-0.5660377358490566,0.2886751345948128,0.6339745962155615,0.0,-0.6071428571428571,-0.5054945054945065
-0.5,-0.8,-1.0,-1.25,-0.547945205479452,-0.5797101449275363,-0.53125,-0.5507246376811594,-0.37735849056603776,0.49999999999999994,0.3660254037844388,0.0,-0.5714285714285714,-0.502747252747253
-0.5,-0.6,-1.0,-1.25,-0.547945205479452,-0.5797101449275363,-0.53125,-0.5507246376811594,-0.5660377358490566,0.5773502691896257,1.793007356604921e-16,0.0,-0.5357142857142857,-0.5137362637362647
-0.5,-0.4,0.0,-1.25,-0.5753424657534246,-0.5797101449275363,-0.53125,-0.5603864734299513,-0.49056603773584906,0.5,-0.3660254037844383,0.0,-0.5,-0.5137362637362647
-0.5,-0.2,0.0,-1.25,-0.5753424657534246,-0.6086956521739131,-0.53125,-0.5700483091787443,-0.49056603773584906,0.2886751345948128,-0.6339745962155612,1.0,-0.4642857142857143,-0.5192307692307694
-0.5,0.0,0.0,-1.25,-0.5753424657534246,-0.6086956521739131,-0.5625,-0.5797101449275363,-0.49056603773584906,0.0,-0.7320508075688771,0.0,-0.42857142857142855,-0.5247252747252753
-0.5,0.2,1.0,-1.25,-0.5753424657534246,-0.6086956521739131,-0.5625,-0.5797101449275363,-0.4528301886792453,-0.2886751345948128,-0.6339745962155612,0.0,-0.39285714285714285,-0.5302197802197812
-0.5,0.4,1.0,-1.25,-0.5753424657534246,-0.6086956521739131,-0.5625,-0.5797101449275363,-0.49056603773584906,-0.5,-0.36602540378443876,0.0,-0.35714285714285715,-0.5384615384615394
-0.5,0.6,1.0,-1.25,-0.6575342465753424,-0.6086956521739131,-0.5625,-0.6086956521739131,-0.5660377358490566,-0.577350269189626,0.0,0.0,-0.32142857142857145,-0.5521978021978025
-0.5,0.8,2.0,-1.25,-0.6575342465753424,-0.6956521739130435,-0.5625,-0.6376811594202898,-0.5283018867924528,-0.5000000000000001,0.3660254037844388,0.0,-0.2857142857142857,-0.5604395604395607
-0.5,1.0,2.0,-1.25,-0.684931506849315,-0.6956521739130435,-0.65625,-0.6763285024154586,-0.5283018867924528,-0.2886751345948132,0.6339745962155612,0.0,-0.25,-0.5741758241758248
