tahun,bulan,kuartal,wilayah_enc,harga_lag1,harga_lag2,harga_lag3,harga_rolling3,harga_lag12,sin_bulan,cos_bulan,is_lebaran_month,tren_index,harga_rolling12
-1.0,-0.8,-1.0,-1.0,-1.0362694300518134,-1.0,-0.9787234042553191,-1.0191972076788827,-0.7027027027027027,0.49999999999999994,0.3660254037844388,0.0,-1.0,-0.9074340527577941
-1.0,-0.6,-1.0,-1.0,-0.9740932642487047,-1.0,-0.9574468085106383,-0.9912739965095984,-0.918918918918919,0.5773502691896257,1.793007356604921e-16,0.0,-0.9642857142857143,-0.9208633093525188
-1.0,-0.4,0.0,-1.0,-1.077720207253886,-0.9375,-0.9574468085106383,-1.0052356020942408,-1.1081081081081081,0.5,-0.3660254037844383,0.0,-0.9285714285714286,-0.9285371702637896
-1.0,-0.2,0.0,-1.0,-1.0155440414507773,-1.0416666666666667,-0.8936170212765957,-0.9982547993019192,-1.1081081081081081,0.2886751345948128,-0.6339745962155612,1.0,-0.8928571428571429,-0.9170263788968831
-1.0,0.0,0.0,-1.0,-1.0155440414507773,-0.9791666666666666,-1.0,-1.0122164048865616,-0.972972972972973,0.0,-0.7320508075688771,0.0,-0.8571428571428571,-0.9055155875299766
-1.0,0.2,1.0,-1.0,-1.0155440414507773,-0.9791666666666666,-0.9361702127659575,-0.9912739965095984,-1.0,-0.2886751345948128,-0.6339745962155612,0.0,-0.8214285714285714,-0.9035971223021592
-1.0,0.4,1.0,-1.0,-0.9533678756476683,-0.9791666666666666,-0.9361702127659575,-0.970331588132635,-0.972972972972973,-0.5,-0.36602540378443876,0.0,-0.7857142857142857,-0.89400479616307
-1.0,0.6,1.0,-1.0,-0.9533678756476683,-0.9166666666666666,-0.9361702127659575,-0.9493891797556716,-0.9459459459459459,-0.577350269189626,0.0,0.0,-0.75,-0.8863309352517994
-1.0,0.8,2.0,-1.0,-0.9740932642487047,-0.9166666666666666,-0.8723404255319149,-0.9354275741710292,-0.9459459459459459,-0.5000000000000001,0.3660254037844388,0.0,-0.7142857142857143,-0.8824940047961636
-1.0,1.0,2.0,-1.0,-0.9948186528497409,-0.9375,-0.8723404255319149,-0.9493891797556716,-1.0,-0.2886751345948132,0.6339745962155612,0.0,-0.6785714285714286,-0.8805755395683461
-1.0,1.2,2.0,-1.0,-0.9533678756476683,-0.9583333333333334,-0.8936170212765957,-0.9493891797556716,-0.972972972972973,-2.1211504774498138e-16,0.7320508075688774,0.0,-0.6428571428571429,-0.8709832134292571
-0.5,-1.0,-1.0,-1.0,-0.9948186528497409,-0.9166666666666666,-0.9148936170212766,-0.9563699825479925,-0.972972972972973,0.2886751345948128,0.6339745962155615,0.0,-0.6071428571428571,-0.8671462829736214
-0.5,-0.8,-1.0,-1.0,-0.9948186528497409,-0.9583333333333334,-0.8723404255319149,-0.9563699825479925,-0.8918918918918919,0.49999999999999994,0.3660254037844388,0.0,-0.5714285714285714,-0.8633093525179865
-0.5,-0.6,-1.0,-1.0,-0.9948186528497409,-0.9583333333333334,-0.9148936170212766,-0.970331588132635,-1.027027027027027,0.5773502691896257,1.793007356604921e-16,0.0,-0.5357142857142857,-0.8652278177458039
-0.5,-0.4,0.0,-1.0,-1.0155440414507773,-0.9583333333333334,-0.9148936170212766,-0.9773123909249558,-0.9459459459459459,0.5,-0.3660254037844383,0.0,-0.5,-0.8594724220623506
-0.5,-0.2,0.0,-1.0,-1.0155440414507773,-0.9791666666666666,-0.9148936170212766,-0.9842931937172775,-0.9459459459459459,0.2886751345948128,-0.6339745962155612,1.0,-0.4642857142857143,-0.8594724220623506
-0.5,0.0,0.0,-1.0,-1.0362694300518134,-0.9791666666666666,-0.9361702127659575,-0.9982547993019192,-0.9459459459459459,0.0,-0.7320508075688771,0.0,-0.42857142857142855,-0.8613908872901681
-0.5,0.2,1.0,-1.0,-1.0362694300518134,-1.0,-0.9361702127659575,-1.0052356020942408,-0.8648648648648649,-0.2886751345948128,-0.6339745962155612,0.0,-0.39285714285714285,-0.8633093525179865
-0.5,0.4,1.0,-1.0,-1.0362694300518134,-1.0,-0.9574468085106383,-1.0122164048865616,-0.8648648648648649,-0.5,-0.36602540378443876,0.0,-0.35714285714285715,-0.8709832134292571
-0.5,0.6,1.0,-1.0,-1.0362694300518134,-1.0,-0.9574468085106383,-1.0122164048865616,-0.8918918918918919,-0.577350269189626,0.0,0.0,-0.32142857142857145,-0.8786570743405279
-0.5,0.8,2.0,-1.0,-1.0362694300518134,-1.0,-0.9574468085106383,-1.0122164048865616,-0.918918918918919,-0.5000000000000001,0.3660254037844388,0.0,-0.2857142857142857,-0.884412470023981
-0.5,1.0,2.0,-1.0,-0.9948186528497409,-1.0,-0.9574468085106383,-0.9982547993019192,-0.8648648648648649,-0.2886751345948132,0.6339745962155612,0.0,-0.25,-0.884412470023981
-0.5,1.2,2.0,-1.0,-0.9948186528497409,-0.9583333333333334,-0.9574468085106383,-0.9842931937172775,-0.918918918918919,-2.1211504774498138e-16,0.7320508075688774,0.0,-0.21428571428571427,-0.8882494004796169
0.0,-1.0,-1.0,-1.0,-0.9948186528497409,-0.9583333333333334,-0.9148936170212766,-0.970331588132635,-0.918918918918919,0.2886751345948128,0.6339745962155615,0.0,-0.17857142857142858,-0.8882494004796169
0.0,-0.8,-1.0,-1.0,-0.9740932642487047,-0.9583333333333334,-0.9148936170212766,-0.9633507853403142,-0.918918918918919,0.49999999999999994,0.3660254037844388,0.0,-0.14285714285714285,-0.8863309352517994
0.0,-0.6,-1.0,-1.0,-0.9740932642487047,-0.9375,-0.9148936170212766,-0.9563699825479925,-0.9459459459459459,0.5773502691896257,1.793007356604921e-16,0.0,-0.10714285714285714,-0.884412470023981
0.0,-0.4,0.0,-1.0,-0.9119170984455959,-0.9375,-0.8936170212765957,-0.9284467713787083,-0.9459459459459459,0.5,-0.3660254037844383,0.0,-0.07142857142857142,-0.8748201438848929
0.0,-0.2,0.0,-1.0,-0.8911917098445595,-0.875,-0.8936170212765957,-0.900523560209424,-0.972972972972973,0.2886751345948128,-0.6339745962155612,1.0,-0.03571428571428571,-0.8633093525179865
0.0,0.0,0.0,-1.0,-0.8911917098445595,-0.8541666666666666,-0.8297872340425532,-0.8726003490401391,-0.972972972972973,0.0,-0.7320508075688771,0.0,0.0,-0.8498800959232616
0.0,0.2,1.0,-1.0,-0.8911917098445595,-0.8541666666666666,-0.8085106382978723,-0.8656195462478182,-0.972972972972973,-0.2886751345948128,-0.6339745962155612,0.0,0.03571428571428571,-0.8364508393285377
0.0,0.4,1.0,-1.0,-0.9326424870466321,-0.8541666666666666,-0.8085106382978723,-0.8795811518324608,-0.972972972972973,-0.5,-0.36602540378443876,0.0,0.07142857142857142,-0.8268585131894487
0.0,0.6,1.0,-1.0,-0.8911917098445595,-0.8958333333333334,-0.8085106382978723,-0.8795811518324608,-0.972972972972973,-0.577350269189626,0.0,0.0,0.10714285714285714,-0.8134292565947248
0.0,0.8,2.0,-1.0,-0.7875647668393783,-0.8541666666666666,-0.851063829787234,-0.8446771378708549,-0.918918918918919,-0.5000000000000001,0.3660254037844388,0.0,0.14285714285714285,-0.7904076738609118
0.0,1.0,2.0,-1.0,-0.7461139896373057,-0.75,-0.8085106382978723,-0.7818499127399648,-0.918918918918919,-0.2886751345948132,0.6339745962155612,0.0,0.17857142857142858,-0.7673860911270989
0.0,1.2,2.0,-1.0,-0.7253886010362695,-0.7083333333333334,-0.7021276595744681,-0.7260034904013957,-0.918918918918919,-2.1211504774498138e-16,0.7320508075688774,0.0,0.21428571428571427,-0.7424460431654685
0.5,-1.0,-1.0,-1.0,-0.7046632124352331,-0.6875,-0.6595744680851063,-0.6980802792321115,-0.8918918918918919,0.2886751345948128,0.6339745962155615,0.0,0.25,-0.7155875299760197
0.5,-0.8,-1.0,-1.0,-0.6217616580310881,-0.6666666666666666,-0.6382978723404256,-0.6561954624781847,-0.8918918918918919,0.49999999999999994,0.3660254037844388,0.0,0.2857142857142857,-0.6829736211031178
0.5,-0.6,-1.0,-1.0,-0.37305699481865284,-0.5833333333333334,-0.6170212765957447,-0.5375218150087255,-0.8108108108108109,0.5773502691896257,1.793007356604921e-16,0.0,0.32142857142857145,-0.6273381294964037
