tahun,bulan,kuartal,wilayah_enc,harga_lag1,harga_lag2,harga_lag3,harga_rolling3,harga_lag12,sin_bulan,cos_bulan,is_lebaran_month,tren_index,harga_rolling12
-1.0,-0.8,-1.0,-1.0,-0.7906976744186046,-0.825,-0.95,-0.8731808731808735,-0.7741935483870968,0.49999999999999994,0.3660254037844388,0.0,-1.0,-0.8568269762299624
-1.0,-0.6,-1.0,-1.0,-0.7209302325581395,-0.825,-0.825,-0.8066528066528066,-0.8064516129032258,0.5773502691896257,1.793007356604921e-16,0.0,-0.9642857142857143,-0.8634604754007751
-1.0,-0.4,0.0,-1.0,-0.8604651162790697,-0.75,-0.825,-0.8316008316008315,-1.032258064516129,0.5,-0.3660254037844383,0.0,-0.9285714285714286,-0.8811498065229414
-1.0,-0.2,0.0,-1.0,-0.813953488372093,-0.9,-0.75,-0.8399168399168395,-1.032258064516129,0.2886751345948128,-0.6339745962155612,1.0,-0.8928571428571429,-0.8789386401326709
-1.0,0.0,0.0,-1.0,-0.813953488372093,-0.85,-0.9,-0.8731808731808735,-1.032258064516129,0.0,-0.7320508075688771,0.0,-0.8571428571428571,-0.8767274737424002
-1.0,0.2,1.0,-1.0,-0.813953488372093,-0.85,-0.85,-0.8565488565488565,-1.032258064516129,-0.2886751345948128,-0.6339745962155612,0.0,-0.8214285714285714,-0.8745163073521288
-1.0,0.4,1.0,-1.0,-0.813953488372093,-0.85,-0.85,-0.8565488565488565,-1.0,-0.5,-0.36602540378443876,0.0,-0.7857142857142857,-0.8723051409618582
-1.0,0.6,1.0,-1.0,-0.813953488372093,-0.85,-0.85,-0.8565488565488565,-1.096774193548387,-0.577350269189626,0.0,0.0,-0.75,-0.8723051409618582
-1.0,0.8,2.0,-1.0,-0.7674418604651163,-0.85,-0.85,-0.8399168399168395,-1.096774193548387,-0.5000000000000001,0.3660254037844388,0.0,-0.7142857142857143,-0.8612493090105036
-1.0,1.0,2.0,-1.0,-0.7906976744186046,-0.8,-0.85,-0.8316008316008315,-1.1290322580645162,-0.2886751345948132,0.6339745962155612,0.0,-0.6785714285714286,-0.8524046434494204
-1.0,1.2,2.0,-1.0,-0.7674418604651163,-0.825,-0.8,-0.8149688149688146,-0.967741935483871,-2.1211504774498138e-16,0.7320508075688774,0.0,-0.6428571428571429,-0.8391376451077952
-0.5,-1.0,-1.0,-1.0,-0.813953488372093,-0.8,-0.825,-0.8316008316008315,-0.967741935483871,0.2886751345948128,0.6339745962155615,0.0,-0.6071428571428571,-0.8413488114980657
-0.5,-0.8,-1.0,-1.0,-0.813953488372093,-0.85,-0.8,-0.8399168399168395,-0.8709677419354839,0.49999999999999994,0.3660254037844388,0.0,-0.5714285714285714,-0.8435599778883373
-0.5,-0.6,-1.0,-1.0,-0.813953488372093,-0.85,-0.85,-0.8565488565488565,-1.064516129032258,0.5773502691896257,1.793007356604921e-16,0.0,-0.5357142857142857,-0.8524046434494204
-0.5,-0.4,0.0,-1.0,-0.8604651162790697,-0.85,-0.85,-0.8731808731808735,-1.0,0.5,-0.3660254037844383,0.0,-0.5,-0.8524046434494204
-0.5,-0.2,0.0,-1.0,-0.8372093023255814,-0.9,-0.85,-0.8814968814968814,-1.0,0.2886751345948128,-0.6339745962155612,1.0,-0.4642857142857143,-0.854615809839691
-0.5,0.0,0.0,-1.0,-0.9069767441860465,-0.875,-0.9,-0.9147609147609145,-1.0,0.0,-0.7320508075688771,0.0,-0.42857142857142855,-0.8634604754007751
-0.5,0.2,1.0,-1.0,-0.9069767441860465,-0.95,-0.875,-0.9313929313929313,-1.0,-0.2886751345948128,-0.6339745962155612,0.0,-0.39285714285714285,-0.8723051409618582
-0.5,0.4,1.0,-1.0,-0.9069767441860465,-0.95,-0.95,-0.9563409563409563,-1.0,-0.5,-0.36602540378443876,0.0,-0.35714285714285715,-0.8811498065229414
-0.5,0.6,1.0,-1.0,-0.9069767441860465,-0.95,-0.95,-0.9563409563409563,-0.9354838709677419,-0.577350269189626,0.0,0.0,-0.32142857142857145,-0.8899944720840255
-0.5,0.8,2.0,-1.0,-0.8837209302325582,-0.95,-0.95,-0.9480249480249483,-0.967741935483871,-0.5000000000000001,0.3660254037844388,0.0,-0.2857142857142857,-0.9010503040353792
-0.5,1.0,2.0,-1.0,-0.8837209302325582,-0.925,-0.95,-0.9397089397089394,-0.9354838709677419,-0.2886751345948132,0.6339745962155612,0.0,-0.25,-0.9098949695964633
-0.5,1.2,2.0,-1.0,-0.8837209302325582,-0.925,-0.925,-0.9313929313929313,-1.0,-2.1211504774498138e-16,0.7320508075688774,0.0,-0.21428571428571427,-0.920950801547817
0.0,-1.0,-1.0,-1.0,-0.8837209302325582,-0.925,-0.925,-0.9313929313929313,-1.0,0.2886751345948128,0.6339745962155615,0.0,-0.17857142857142858,-0.9275843007186296
0.0,-0.8,-1.0,-1.0,-0.813953488372093,-0.925,-0.925,-0.9064449064449064,-1.0,0.49999999999999994,0.3660254037844388,0.0,-0.14285714285714285,-0.9275843007186296
0.0,-0.6,-1.0,-1.0,-0.813953488372093,-0.85,-0.925,-0.8814968814968814,-1.064516129032258,0.5773502691896257,1.793007356604921e-16,0.0,-0.10714285714285714,-0.9275843007186296
0.0,-0.4,0.0,-1.0,-0.7906976744186046,-0.85,-0.85,-0.8482328482328485,-1.032258064516129,0.5,-0.3660254037844383,0.0,-0.07142857142857142,-0.920950801547817
0.0,-0.2,0.0,-1.0,-0.813953488372093,-0.825,-0.85,-0.8482328482328485,-1.1290322580645162,0.2886751345948128,-0.6339745962155612,1.0,-0.03571428571428571,-0.9187396351575465
0.0,0.0,0.0,-1.0,-0.813953488372093,-0.85,-0.825,-0.8482328482328485,-1.1290322580645162,0.0,-0.7320508075688771,0.0,0.0,-0.9098949695964633
0.0,0.2,1.0,-1.0,-0.813953488372093,-0.85,-0.85,-0.8565488565488565,-1.1290322580645162,-0.2886751345948128,-0.6339745962155612,0.0,0.03571428571428571,-0.9010503040353792
0.0,0.4,1.0,-1.0,-0.813953488372093,-0.85,-0.85,-0.8565488565488565,-1.1290322580645162,-0.5,-0.36602540378443876,0.0,0.07142857142857142,-0.892205638474296
0.0,0.6,1.0,-1.0,-0.7674418604651163,-0.85,-0.85,-0.8399168399168395,-1.096774193548387,-0.577350269189626,0.0,0.0,0.10714285714285714,-0.8789386401326709
0.0,0.8,2.0,-1.0,-0.6511627906976745,-0.8,-0.85,-0.7817047817047816,-1.096774193548387,-0.5000000000000001,0.3660254037844388,0.0,0.14285714285714285,-0.8568269762299624
0.0,1.0,2.0,-1.0,-0.4883720930232558,-0.675,-0.8,-0.6652806652806649,-1.096774193548387,-0.2886751345948132,0.6339745962155612,0.0,0.17857142857142858,-0.8192371475953574
0.0,1.2,2.0,-1.0,-0.4883720930232558,-0.5,-0.675,-0.5654885654885651,-1.096774193548387,-2.1211504774498138e-16,0.7320508075688774,0.0,0.21428571428571427,-0.7816473189607522
0.5,-1.0,-1.0,-1.0,-0.4883720930232558,-0.5,-0.5,-0.5072765072765071,-1.0,0.2886751345948128,0.6339745962155615,0.0,0.25,-0.7440574903261481
0.5,-0.8,-1.0,-1.0,-0.2558139534883721,-0.5,-0.5,-0.42411642411642425,-1.0,0.49999999999999994,0.3660254037844388,0.0,0.2857142857142857,-0.6909894969596472
0.5,-0.6,-1.0,-1.0,-0.06976744186046512,-0.25,-0.5,-0.2744282744282745,-0.967741935483871,0.5773502691896257,1.793007356604921e-16,0.0,0.32142857142857145,-0.6202321724709791
0.5,-0.4,0.0,-1.0,0.0,-0.05,-0.25,-0.09979209979209983,-1.0,0.5,-0.3660254037844383,1.0,0.35714285714285715,-0.5450525152017698
0.5,-0.2,0.0,-1.0,-0.023255813953488372,0.025,-0.05,-0.016632016632016033,-1.0,0.2886751345948128,-0.6339745962155612,0.0,0.39285714285714285,-0.46987285793255956
0.5,0.0,0.0,-1.0,-0.023255813953488372,0.0,0.025,0.0,-1.0,0.0,-0.7320508075688771,0.0,0.42857142857142855,-0.3946932006633503
0.5,0.2,1.0,-1.0,-0.11627906976744186,0.0,0.0,-0.041580041580040986,-1.0,-0.2886751345948128,-0.6339745962155612,0.0,0.4642857142857143,-0.3283582089552242
0.5,0.4,1.0,-1.0,-0.11627906976744186,-0.1,0.0,-0.07484407484407486,-0.9354838709677419,-0.5,-0.36602540378443876,0.0,0.5,-0.2620232172470981
0.5,0.6,1.0,-1.0,0.046511627906976744,-0.1,-0.1,-0.04989604989604991,-0.7741935483870968,-0.577350269189626,0.0,0.0,0.5357142857142857,-0.18463239358761732
0.5,0.8,2.0,-1.0,0.23255813953488372,0.075,-0.1,0.07484407484407486,-0.5483870967741935,-0.5000000000000001,0.3660254037844388,0.0,0.5714285714285714,-0.1006080707573249
0.5,1.0,2.0,-1.0,0.7209302325581395,0.275,0.075,0.37422037422037435,-0.5483870967741935,-0.2886751345948132,0.6339745962155612,0.0,0.6071428571428571,0.014372581536760977
0.5,1.2,2.0,-1.0,0.7441860465116279,0.8,0.275,0.6237006237006238,-0.5483870967741935,-2.1211504774498138e-16,0.7320508075688774,0.0,0.6428571428571429,0.13156440022111646
1.0,-1.0,-1.0,-1.0,0.7674418604651163,0.825,0.8,0.8149688149688156,-0.22580645161290322,0.2886751345948128,0.6339745962155615,0.0,0.6785714285714286,0.2509673852957434
1.0,-0.8,-1.0,-1.0,0.7906976744186046,0.85,0.825,0.8399168399168405,0.03225806451612903,0.49999999999999994,0.3660254037844388,0.0,0.7142857142857143,0.3504698728579326
1.0,-0.6,-1.0,-1.0,0.8604651162790697,0.875,0.85,0.8814968814968823,0.12903225806451613,0.5773502691896257,1.793007356604921e-16,0.0,0.75,0.438916528468768
1.0,-0.4,0.0,-1.0,0.8604651162790697,0.95,0.875,0.9147609147609154,0.0967741935483871,0.5,-0.3660254037844383,1.0,0.7857142857142857,0.5207296849087899
1.0,-0.2,0.0,-1.0,0.8604651162790697,0.95,0.95,0.9397089397089403,0.0967741935483871,0.2886751345948128,-0.6339745962155612,0.0,0.8214285714285714,0.6047540077390833
1.0,0.0,0.0,-1.0,1.0,0.95,0.95,0.9896049896049902,-0.03225806451612903,0.0,-0.7320508075688771,0.0,0.8571428571428571,0.7020453289110009
1.0,0.2,1.0,-1.0,0.9767441860465116,1.1,0.95,1.0311850311850321,-0.03225806451612903,-0.2886751345948128,-0.6339745962155612,0.0,0.8928571428571429,0.8059701492537321
1.0,0.4,1.0,-1.0,0.8604651162790697,1.075,1.1,1.0311850311850321,0.1935483870967742,-0.5,-0.36602540378443876,0.0,0.9285714285714286,0.8988391376451087
