tahun,bulan,kuartal,wilayah_enc,harga_lag1,harga_lag2,harga_lag3,harga_rolling3,harga_lag12,sin_bulan,cos_bulan,is_lebaran_month,tren_index,harga_rolling12
-1.0,-0.8,-1.0,-1.0,-1.5,-1.4385964912280702,-1.7719298245614035,-1.571847507331378,-0.9276315789473685,0.49999999999999994,0.3660254037844388,0.0,-1.0,-1.3685162846803376
-1.0,-0.6,-1.0,-1.0,-0.9642857142857143,-1.4385964912280702,-1.4210526315789473,-1.2785923753665687,-0.8881578947368421,0.5773502691896257,1.793007356604921e-16,0.0,-0.9642857142857143,-1.3202653799758746
-1.0,-0.4,0.0,-1.0,-1.2142857142857142,-0.9122807017543859,-1.4210526315789473,-1.1847507331378297,-0.9539473684210527,0.5,-0.3660254037844383,0.0,-0.9285714285714286,-1.292521109770808
-1.0,-0.2,0.0,-1.0,-1.3214285714285714,-1.1578947368421053,-0.8947368421052632,-1.1260997067448675,-0.9539473684210527,0.2886751345948128,-0.6339745962155612,1.0,-0.8928571428571429,-1.2659831121833536
-1.0,0.0,0.0,-1.0,-1.3214285714285714,-1.263157894736842,-1.1403508771929824,-1.2434017595307916,-0.9802631578947368,0.0,-0.7320508075688771,0.0,-0.8571428571428571,-1.2394451145958985
-1.0,0.2,1.0,-1.0,-1.3214285714285714,-1.263157894736842,-1.2456140350877194,-1.2785923753665687,-0.9802631578947368,-0.2886751345948128,-0.6339745962155612,0.0,-0.8214285714285714,-1.2104945717732205
-1.0,0.4,1.0,-1.0,-1.6607142857142858,-1.263157894736842,-1.2456140350877194,-1.390029325513196,-0.9802631578947368,-0.5,-0.36602540378443876,0.0,-0.7857142857142857,-1.204463208685163
-1.0,0.6,1.0,-1.0,-1.3928571428571428,-1.5964912280701755,-1.2456140350877194,-1.413489736070381,-1.019736842105263,-0.577350269189626,0.0,0.0,-0.75,-1.1803377563329311
-1.0,0.8,2.0,-1.0,-1.3214285714285714,-1.3333333333333333,-1.5789473684210527,-1.413489736070381,-0.993421052631579,-0.5000000000000001,0.3660254037844388,0.0,-0.7142857142857143,-1.1477683956574185
-1.0,1.0,2.0,-1.0,-1.0892857142857142,-1.263157894736842,-1.3157894736842106,-1.225806451612903,-1.0592105263157894,-0.2886751345948132,0.6339745962155612,0.0,-0.6785714285714286,-1.101930036188178
-1.0,1.2,2.0,-1.0,-1.0,-1.0350877192982457,-1.2456140350877194,-1.096774193548387,-0.7960526315789473,-2.1211504774498138e-16,0.7320508075688774,0.0,-0.6428571428571429,-1.0440289505428224
-0.5,-1.0,-1.0,-1.0,-0.9464285714285714,-0.9473684210526315,-1.0175438596491229,-0.9736070381231672,-0.7960526315789473,0.2886751345948128,0.6339745962155615,0.0,-0.6071428571428571,-1.0066344993968634
-0.5,-0.8,-1.0,-1.0,-0.9464285714285714,-0.8947368421052632,-0.9298245614035088,-0.9266862170087975,-0.40131578947368424,0.49999999999999994,0.3660254037844388,0.0,-0.5714285714285714,-0.9692400482509047
-0.5,-0.6,-1.0,-1.0,-0.8035714285714286,-0.8947368421052632,-0.8771929824561403,-0.8621700879765393,-0.5855263157894737,0.5773502691896257,1.793007356604921e-16,0.0,-0.5357142857142857,-0.9583835946924004
-0.5,-0.4,0.0,-1.0,-0.7857142857142857,-0.7543859649122807,-0.8771929824561403,-0.8093841642228735,-0.6644736842105263,0.5,-0.3660254037844383,0.0,-0.5,-0.9294330518697226
-0.5,-0.2,0.0,-1.0,-0.75,-0.7368421052631579,-0.7368421052631579,-0.744868035190616,-0.6644736842105263,0.2886751345948128,-0.6339745962155612,1.0,-0.4642857142857143,-0.8908323281061518
-0.5,0.0,0.0,-1.0,-0.5892857142857143,-0.7017543859649122,-0.7192982456140351,-0.6744868035190618,-0.6644736842105263,0.0,-0.7320508075688771,0.0,-0.42857142857142855,-0.8413751507840769
-0.5,0.2,1.0,-1.0,-0.5892857142857143,-0.543859649122807,-0.6842105263157895,-0.6099706744868034,-0.9144736842105263,-0.2886751345948128,-0.6339745962155612,0.0,-0.39285714285714285,-0.7919179734620023
-0.5,0.4,1.0,-1.0,-0.42857142857142855,-0.543859649122807,-0.5263157894736842,-0.5043988269794721,-0.7171052631578947,-0.5,-0.36602540378443876,0.0,-0.35714285714285715,-0.7086851628468033
-0.5,0.6,1.0,-1.0,-0.19642857142857142,-0.38596491228070173,-0.5263157894736842,-0.3753665689149563,-0.6644736842105263,-0.577350269189626,0.0,0.0,-0.32142857142857145,-0.627864897466827
-0.5,0.8,2.0,-1.0,0.19642857142857142,-0.15789473684210525,-0.3684210526315789,-0.11730205278592391,-0.4934210526315789,-0.5000000000000001,0.3660254037844388,0.0,-0.2857142857142857,-0.5253317249698429
-0.5,1.0,2.0,-1.0,0.125,0.22807017543859648,-0.14035087719298245,0.0645161290322576,-0.4276315789473684,-0.2886751345948132,0.6339745962155612,0.0,-0.25,-0.4433051869722553
-0.5,1.2,2.0,-1.0,0.5714285714285714,0.15789473684210525,0.24561403508771928,0.316715542521994,-0.3881578947368421,-2.1211504774498138e-16,0.7320508075688774,0.0,-0.21428571428571427,-0.33715319662243637
0.0,-1.0,-1.0,-1.0,1.125,0.5964912280701754,0.17543859649122806,0.6217008797653955,-0.3881578947368421,0.2886751345948128,0.6339745962155615,0.0,-0.17857142857142858,-0.19722557297949286
0.0,-0.8,-1.0,-1.0,1.2857142857142858,1.1403508771929824,0.6140350877192983,1.002932551319647,-0.28289473684210525,0.49999999999999994,0.3660254037844388,0.0,-0.14285714285714285,-0.04644149577804567
