tahun,bulan,kuartal,wilayah_enc,harga_lag1,harga_lag2,harga_lag3,harga_rolling3,harga_lag12,sin_bulan,cos_bulan,is_lebaran_month,tren_index,harga_rolling12
-1.0,-0.8,-1.0,-1.0,-0.9,-0.875,-0.7956521739130434,-0.8700225394440275,-0.041666666666666664,0.49999999999999994,0.3660254037844388,0.0,-1.0,-0.5652932960893853
-1.0,-0.6,-1.0,-1.0,-0.7545454545454545,-0.875,-0.8391304347826087,-0.8369646882043583,-0.041666666666666664,0.5773502691896257,1.793007356604921e-16,0.0,-0.9642857142857143,-0.5687849162011173
-1.0,-0.4,0.0,-1.0,-0.7545454545454545,-0.7321428571428571,-0.8391304347826087,-0.7888805409466572,-0.05,0.5,-0.3660254037844383,0.0,-0.9285714285714286,-0.5722765363128489
-1.0,-0.2,0.0,-1.0,-0.7181818181818181,-0.7321428571428571,-0.7,-0.7287753568745311,-0.05,0.2886751345948128,-0.6339745962155612,1.0,-0.8928571428571429,-0.5722765363128489
-1.0,0.0,0.0,-1.0,-0.7181818181818181,-0.6964285714285714,-0.7,-0.7167543200601056,-0.06666666666666667,0.0,-0.7320508075688771,0.0,-0.8571428571428571,-0.5722765363128489
-1.0,0.2,1.0,-1.0,-0.7181818181818181,-0.6964285714285714,-0.6652173913043479,-0.7047332832456805,-0.09166666666666666,-0.2886751345948128,-0.6339745962155612,0.0,-0.8214285714285714,-0.5708798882681564
-1.0,0.4,1.0,-1.0,-0.7363636363636363,-0.6964285714285714,-0.6652173913043479,-0.7107438016528933,-0.09166666666666666,-0.5,-0.36602540378443876,0.0,-0.7857142857142857,-0.5687849162011173
-1.0,0.6,1.0,-1.0,-0.7363636363636363,-0.7142857142857143,-0.6652173913043479,-0.7167543200601056,-0.10833333333333334,-0.577350269189626,0.0,0.0,-0.75,-0.5666899441340781
-1.0,0.8,2.0,-1.0,-0.7363636363636363,-0.7142857142857143,-0.6826086956521739,-0.7227648384673184,-0.125,-0.5000000000000001,0.3660254037844388,0.0,-0.7142857142857143,-0.5631983240223462
-1.0,1.0,2.0,-1.0,-0.7181818181818181,-0.7142857142857143,-0.6826086956521739,-0.7167543200601056,-0.175,-0.2886751345948132,0.6339745962155612,0.0,-0.6785714285714286,-0.5569134078212289
-1.0,1.2,2.0,-1.0,-0.7363636363636363,-0.6964285714285714,-0.6826086956521739,-0.7167543200601056,-0.21666666666666667,-2.1211504774498138e-16,0.7320508075688774,0.0,-0.6428571428571429,-0.5478351955307261
