Komoditas,Model,MAE,RMSE,R2,MAPE(%)
Bawang Merah Ukuran Sedang,ridge,5431.113866190326,6972.255553277991,-0.11849988183046856,12.168079435603376
Bawang Putih Ukuran Sedang,lgbm,2288.587125611396,2829.2932366310124,0.7332864713324836,5.780499956792019
Beras Kualitas Bawah I,lgbm,295.6782576234843,372.82543498923627,0.6187068823324815,2.1084124309513808
Beras Kualitas Bawah II,lgbm,434.1672471357222,529.5646003381502,0.5632574644796706,3.2400160559173616
Beras Kualitas Medium I,lgbm,301.5057915512834,388.34326127987424,0.7791455098755383,1.933934147510753
Beras Kualitas Medium II,lgbm,309.0823184659324,424.212338050457,0.6884744351961631,2.0312201899534483
Beras Kualitas Super I,lgbm,527.9984121208387,642.723971983515,0.7799048337179815,3.0550016934496997
Beras Kualitas Super II,lgbm,453.42777963955757,526.700259810864,0.6765297376604245,2.8503780330672575
Cabai Merah Besar,lgbm,10935.383364760322,14083.577002664653,0.03811353439897491,22.228222821465472
Cabai Merah Keriting,lgbm,11911.306870547565,15839.4856415098,0.011455268770015792,23.754949620977758
Cabai Rawit Hijau,lgbm,8432.096886140735,10950.391060980519,0.45000710839755287,18.76803408086161
Cabai Rawit Merah,ridge,15294.928765248289,20138.771487598024,0.33207606799622835,26.587693971698673
Daging Ayam Ras Segar,lgbm,2619.325777518129,3221.554572813012,0.03160158922674239,6.926459853534267
Daging Sapi Kualitas 1,lgbm,2140.632854973054,3476.2614713327666,0.8028912970995532,1.4652092346386099
Daging Sapi Kualitas 2,lgbm,2726.5286039213283,4365.100038280616,0.6785322838641957,2.0791159382762214
Gula Pasir Kualitas Premium,lgbm,228.21425578130908,289.984510728634,0.8280391811551611,1.1780993337338095
Gula Pasir Lokal,lgbm,290.0793743129195,384.0627591632378,0.6840893774576551,1.6226542697991004
Minyak Goreng Curah,lgbm,1059.134439588772,1358.6127539824088,-0.8683475371228844,5.291712638069218
Minyak Goreng Kemasan Bermerk 1,lgbm,678.3874170093148,777.0278815818752,-0.03142338448116133,3.1296223674086527
Minyak Goreng Kemasan Bermerk 2,lgbm,820.6749639531765,946.3331983774202,-0.05714981738259883,3.8689252387254083
Telur Ayam Ras Segar,lgbm,1477.3801247916656,2096.7068661209614,0.18019406064358412,4.8678864789622684
