Komoditas,MAE,RMSE,R2,MAPE(%)
Bawang Merah Ukuran Sedang,6304.482686044195,8127.765373288102,-0.5199582718606257,14.083689347788342
Bawang Putih Ukuran Sedang,1823.2753593381715,2427.7824763915933,0.8036148398662392,4.476458233848465
Beras Kualitas Bawah I,265.0651657323254,358.14767133276484,0.8019718265509741,1.891449265245261
Beras Kualitas Bawah II,227.54243970495543,341.568433222939,0.8585742539862298,1.687143190030235
Beras Kualitas Medium I,287.1104984601728,388.00459597736517,0.7795305462406702,1.8310541374568254
Beras Kualitas Medium II,316.6872001946854,417.8838789420383,0.6976998689659676,2.1076158868435204
Beras Kualitas Super I,293.9147189901879,435.34353625160327,0.899022245352935,1.7056303080385988
Beras Kualitas Super II,306.2054957810735,381.60103808916136,0.8302044162033895,1.8895079035712816
Cabai Merah Besar,9765.37777279002,13024.426715094243,0.11284526285058749,21.49892885132974
Cabai Merah Keriting,11262.398201228078,15090.653938603631,0.1027152298271935,23.23855849385181
Cabai Rawit Hijau,7628.359173718783,10279.178620119375,0.5153651464963962,16.21398228939473
Cabai Rawit Merah,17589.153675319627,21913.239281783764,0.20918623753189458,31.731974260117017
Daging Ayam Ras Segar,2300.8637982428822,2859.3966395189905,0.23709249428932067,6.138737505126855
Daging Sapi Kualitas 1,2066.7766963296576,3416.2333162772493,0.8096398766566434,1.4135000067865338
Daging Sapi Kualitas 2,2285.526176017035,4032.9945285584904,0.7255872866870027,1.7319077150079014
Gula Pasir Kualitas Premium,255.95583950913473,313.4303531433766,0.7991082942260672,1.3228777684775543
Gula Pasir Lokal,272.86726949736203,361.9461904488363,0.7194257219946236,1.5072071630846406
Minyak Goreng Curah,1110.2316921508443,1325.8340514320273,-0.7792813519662851,5.729236734472429
Minyak Goreng Kemasan Bermerk 1,494.848710121231,653.4787557753073,0.2704976163072673,2.303205098875711
Minyak Goreng Kemasan Bermerk 2,731.182004980513,875.2116996603039,0.09577894274472576,3.4713749587048177
Telur Ayam Ras Segar,1393.8840316538467,2020.381349354476,0.23879378208731483,4.62033903980451
